Form	Word	Scribe	Page	Grammar	Vowel	Syllable
miltsode	miltsian	Hatt1	101.1	pret.3.sg.ind.	o	mid
hlinode	hlinian	Hatt1	101.2	pret.3.sg.ind.	o	mid
ābisgod	bisgian	Hatt1	103.01	perf.m.nom.sg.	o	final
scēawode	scēawian	Hatt1	103.01	pret.3.sg.ind.	o	mid
tuēode	twēogan	Hatt1	103.04	pret.3.sg.ind.	contracted	mid
tōtodon	tōtian	Hatt1	105.05	pret.3.pl.ind.	o	mid
gecostod	costian	Hatt1	105.21	perf.m.nom.sg.	o	final
gefriðod	friðian	Hatt1	107.02	perf.m.nom.sg.	o	final
āīdlad	īdlian	Hatt1	111.09	perf.m.nom.sg.	a	final
wilnode	wilnian	Hatt1	111.22	pret.3.sg.ind.	o	mid
geearnode	earnian	Hatt1	113.01	pret.3.sg.ind.	o	mid
geearnode	earnian	Hatt1	113.05	pret.3.sg.ind.	o	mid
weorðode	weorðian	Hatt1	115.09	pret.3.sg.ind.	o	mid
geearnode	earnian	Hatt1	115.19	pret.3.sg.ind.	o	mid
ungewītnode	wītnian	Hatt1	117.23	perf.m.nom.pl.	o	mid
getācnad	tācnian	Hatt1	119.09	perf.n.nom.sg.	a	final
geðafade	þafian	Hatt1	119.19	pret.3.sg.ind.	a	mid
ðēnade	þegnian	Hatt1	121.08	pret.3.sg.sub.	a	mid
geðafade	þafian	Hatt1	123.06	pret.3.sg.ind.	a	mid
unwītnode	wītnian	Hatt1	123.06	perf.f.acc.pl.	o	mid
gewundedan	wundian	Hatt1	125.07	perf.m.acc.sg.weak	e	mid
forrotedan	rotian	Hatt1	125.11	perf.f.acc.sg.weak	e	mid
ābisegad	bisgian	Hatt1	127.15	perf.m.nom.sg.	a	final
ābisgod	bisgian	Hatt1	129.02	perf.m.nom.sg.	o	final
geweorðode	weorðian	Hatt1	131.09	perf.m.nom.pl.	o	mid
ādeorcad	deorcian	Hatt1	133.1	perf.n.nom.sg.	a	final
āsweartod	sweartian	Hatt1	133.21	perf.n.nom.sg.	o	final
gewanod	wanian	Hatt1	133.23	perf.m.nom.sg.	o	final
drohtode	drohtian	Hatt1	133.24	pret.3.sg.sub.	o	mid
āblācod	blācian	Hatt1	135.02	perf.n.nom.sg.	o	final
gemacod	macian	Hatt1	135.08	perf.m.nom.pl.	o	final
gehefegad	hefegian	Hatt1	135.24	perf.m.nom.sg.	a	final
ābisgode	bisgian	Hatt1	135.26	perf.m.nom.pl.	o	mid
monode	manian	Hatt1	137.16	pret.3.sg.ind.	o	mid
warode	warian	Hatt1	137.21	pret.3.sg.ind.	o	mid
geārode	ārian	Hatt1	137.24	perf.m.nom.pl.	o	mid
gemetgod	metgian	Hatt1	139.11	perf.f.nom.sg.	o	final
efsode	efesian	Hatt1	141.03	pret.3.sg.sub.	o	mid
āwācod	wācian	Hatt1	143.08	perf.n.nom.sg.	o	final
geðrēade	þrēagan	Hatt1	145.04	perf.m.nom.pl.	contracted	mid
geopenude	openian	Hatt1	147.18	pret.3.sg.ind.	u	mid
līcode	līcian	Hatt1	147.22	pret.3.sg.ind.	o	mid
līcode	līcian	Hatt1	147.22	pret.3.sg.ind.	o	mid
wilnode	wilnian	Hatt1	147.22	pret.3.sg.ind.	o	mid
wilnode	wilnian	Hatt1	147.23	pret.3.sg.ind.	o	mid
līcode	līcian	Hatt1	147.24	pret.3.sg.sub.	o	mid
gelīðod	līðigian	Hatt1	151.02	perf.n.nom.sg.	o	final
gelādod	lādian	Hatt1	151.18	perf.m.nom.sg.	o	final
ðrēade	þrēagan	Hatt1	151.2	pret.3.sg.ind.	contracted	mid
suūgode	swūgian	Hatt1	151.22	pret.1.sg.ind.	o	mid
ðafode	þafian	Hatt1	151.22	pret.3.sg.ind.	o	mid
swūgode	swūgian	Hatt1	151.24	pret.3.sg.ind.	o	mid
ðurhðyreludne	þyrlian	Hatt1	153.18	perf.m.acc.sg.	u	mid
getācnod	tācnian	Hatt1	153.23	perf.n.nom.sg.	o	final
ðurhðyrelod	þyrlian	Hatt1	155.03	supine	o	final
ðurhðyrelod	þyrlian	Hatt1	157.15	perf.m.nom.sg.	o	final
manode	manian	Hatt1	159.09	pret.3.sg.ind.	o	mid
ābisegod	bisgian	Hatt1	159.1	perf.m.nom.sg.	o	final
getācnod	tācnian	Hatt1	163.23	perf.m.nom.sg.	o	final
līcode	līcian	Hatt1	165.13	pret.3.sg.ind.	o	mid
ungemetgad	metgian	Hatt1	165.18	perf.f.nom.sg.	a	final
gesyngade	syngian	Hatt1	165.23	pret.3.sg.ind.	a	mid
bisnade	bisenian	Hatt1	165.24	pret.3.sg.ind.	a	mid
geðrēatade	þrēatian	Hatt1	167.13	perf.n.nom.sg.	a	mid
gefrieðode	friðian	Hatt1	167.25	pret.3.sg.ind.	o	mid
ābisgod	bisgian	Hatt1	169.01	perf.m.nom.sg.	o	final
geednīwad	ednīwian	Hatt1	169.1	perf.m.nom.sg.	a	final
ābisgad	bisgian	Hatt1	169.11	perf.n.nom.sg.	a	final
manade	manian	Hatt1	169.16	pret.3.sg.ind.	a	mid
ābisgad	bisgian	Hatt1	169.17	perf.m.nom.sg.	a	final
forrotad	rotian	Hatt1	169.23	perf.n.nom.sg.	a	final
manode	manian	Hatt1	173.07	pret.3.sg.ind.	o	mid
ðrēade	þrēagan	Hatt1	181.13	pret.3.sg.ind.	contracted	mid
geðrēatod	þrēatian	Hatt1	183.14	perf.m.nom.sg.	o	final
gehnescode	hnescian	Hatt1	183.21	perf.f.nom.pl.	o	mid
getācnod	tācnian	Hatt1	185.02	perf.n.nom.sg.	o	final
gemetgode	metgian	Hatt1	185.04	pret.3.sg.ind.	o	mid
grāpude	grāpian	Hatt1	187.04	pret.3.sg.ind.	u	mid
gemanode	manian	Hatt1	193.02	perf.m.nom.pl.	o	mid
ðolade	þolian	Hatt1	197.17	pret.3.sg.ind.	a	mid
cleopedon	clipian	Hatt1	197.17	pret.3.pl.ind.	e	mid
hrēowsade	hrēowsian	Hatt1	199.18	pret.3.sg.sub.	a	mid
manode	manian	Hatt1	205.07	pret.3.sg.ind.	o	mid
